bssid, phy_type, channel, frequency, signal_strength, retry, number, data_rate, short_GI, mcs_index, time_arrived, packet_size
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,88,6,0,7,1742468841.896089,265
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,90,6,0,7,1742468841.98996,195
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-73,0,91,6,0,7,1742468841.989971,172
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,92,6,0,7,1742468841.989971,421
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-73,0,93,6,0,7,1742468841.98997,227
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,94,6,0,7,1742468841.989971,150
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,95,6,0,7,1742468841.989971,252
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,96,6,0,7,1742468841.989971,288
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,97,6,0,7,1742468841.989987,172
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,98,6,0,7,1742468841.989993,167
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,99,6,0,7,1742468841.989994,150
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,100,6,0,7,1742468841.990001,172
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,101,6,0,7,1742468841.990004,150
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,102,6,0,7,1742468841.99001,204
