BSSID,PHY Type,Channel,Frequency,Signal Strength,Retry,Number,Data Rate,Short GI,MCS index,Time Arrived,Packet Arrived,Bandwidth,Rate Gap
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,254,72.2222,1,7,1743194260.964113,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,258,72.2222,1,7,1743194260.965171,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,259,72.2222,1,7,1743194260.965173,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,260,72.2222,1,7,1743194260.965693,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,262,72.2222,1,7,1743194260.96634,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,265,72.2222,1,7,1743194260.967394,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,266,72.2222,1,7,1743194260.967399,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,1,268,72.2222,1,7,1743194260.969175,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,269,72.2222,1,7,1743194260.969179,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,270,72.2222,1,7,1743194260.969184,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,271,72.2222,1,7,1743194260.969191,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,273,72.2222,1,7,1743194260.969925,1532,20,0
